Int_LAO_sun,Int_optimized,two_theta_LAO_sub,two_theta_optimized
6,1,20.258,20.258
2,1,20.26,20.26
1,4,20.262,20.262
6,1,20.264,20.264
6,2,20.266,20.266
5,3,20.268,20.268
2,4,20.27,20.27
2,6,20.272,20.272
0,3,20.274,20.274
2,2,20.276,20.276
2,3,20.278,20.278
0,0,20.28,20.28
1,4,20.282,20.282
2,2,20.284,20.284
2,1,20.286,20.286
1,2,20.288,20.288
1,3,20.29,20.29
2,2,20.292,20.292
4,4,20.294,20.294
4,3,20.296,20.296
2,3,20.298,20.298
0,2,20.3,20.3
0,2,20.302,20.302
1,4,20.304,20.304
4,2,20.306,20.306
0,3,20.308,20.308
0,3,20.31,20.31
3,0,20.312,20.312
1,2,20.314,20.314
5,2,20.316,20.316
2,2,20.318,20.318
5,3,20.32,20.32
4,1,20.322,20.322
3,0,20.324,20.324
2,6,20.326,20.326
2,1,20.328,20.328
2,4,20.33,20.33
4,1,20.332,20.332
3,1,20.334,20.334
1,2,20.336,20.336
1,2,20.338,20.338
3,1,20.34,20.34
2,1,20.342,20.342
3,3,20.344,20.344
4,1,20.346,20.346
2,3,20.348,20.348
0,2,20.35,20.35
2,3,20.352,20.352
2,1,20.354,20.354
2,0,20.356,20.356
6,2,20.358,20.358
2,1,20.36,20.36
3,2,20.362,20.362
1,3,20.364,20.364
2,1,20.366,20.366
0,1,20.368,20.368
2,4,20.37,20.37
0,1,20.372,20.372
2,2,20.374,20.374
4,1,20.376,20.376
2,3,20.378,20.378
2,1,20.38,20.38
4,0,20.382,20.382
2,1,20.384,20.384
1,1,20.386,20.386
0,2,20.388,20.388
1,4,20.39,20.39
3,4,20.392,20.392
1,0,20.394,20.394
3,2,20.396,20.396
1,3,20.398,20.398
0,1,20.4,20.4
2,2,20.402,20.402
4,2,20.404,20.404
1,2,20.406,20.406
2,0,20.408,20.408
3,1,20.41,20.41
6,3,20.412,20.412
2,4,20.414,20.414
3,2,20.416,20.416
3,1,20.418,20.418
1,1,20.42,20.42
1,4,20.422,20.422
2,2,20.424,20.424
0,5,20.426,20.426
4,2,20.428,20.428
3,0,20.43,20.43
1,2,20.432,20.432
1,1,20.434,20.434
2,3,20.436,20.436
2,2,20.438,20.438
1,1,20.44,20.44
1,2,20.442,20.442
2,1,20.444,20.444
1,1,20.446,20.446
3,5,20.448,20.448
2,1,20.45,20.45
3,3,20.452,20.452
2,2,20.454,20.454
5,1,20.456,20.456
4,4,20.458,20.458
2,3,20.46,20.46
0,3,20.462,20.462
1,3,20.464,20.464
3,1,20.466,20.466
1,2,20.468,20.468
0,2,20.47,20.47
5,3,20.472,20.472
1,1,20.474,20.474
4,1,20.476,20.476
3,1,20.478,20.478
2,4,20.48,20.48
0,2,20.482,20.482
3,5,20.484,20.484
3,1,20.486,20.486
5,1,20.488,20.488
6,0,20.49,20.49
0,3,20.492,20.492
1,3,20.494,20.494
1,4,20.496,20.496
3,2,20.498,20.498
3,2,20.5,20.5
2,4,20.502,20.502
3,5,20.504,20.504
2,4,20.506,20.506
2,3,20.508,20.508
4,5,20.51,20.51
3,1,20.512,20.512
2,2,20.514,20.514
1,3,20.516,20.516
2,1,20.518,20.518
1,4,20.52,20.52
3,2,20.522,20.522
2,2,20.524,20.524
2,1,20.526,20.526
2,1,20.528,20.528
1,6,20.53,20.53
0,2,20.532,20.532
1,1,20.534,20.534
4,2,20.536,20.536
2,1,20.538,20.538
1,5,20.54,20.54
4,2,20.542,20.542
2,2,20.544,20.544
0,3,20.546,20.546
0,1,20.548,20.548
3,2,20.55,20.55
5,0,20.552,20.552
6,4,20.554,20.554
2,3,20.556,20.556
1,5,20.558,20.558
4,2,20.56,20.56
1,1,20.562,20.562
0,2,20.564,20.564
0,1,20.566,20.566
4,3,20.568,20.568
1,2,20.57,20.57
2,4,20.572,20.572
1,3,20.574,20.574
1,2,20.576,20.576
2,1,20.578,20.578
2,2,20.58,20.58
1,6,20.582,20.582
1,1,20.584,20.584
2,5,20.586,20.586
0,0,20.588,20.588
2,1,20.59,20.59
1,2,20.592,20.592
1,2,20.594,20.594
1,3,20.596,20.596
3,4,20.598,20.598
2,3,20.6,20.6
5,2,20.602,20.602
2,1,20.604,20.604
2,1,20.606,20.606
3,3,20.608,20.608
1,3,20.61,20.61
5,3,20.612,20.612
1,1,20.614,20.614
3,2,20.616,20.616
2,1,20.618,20.618
3,0,20.62,20.62
2,5,20.622,20.622
2,3,20.624,20.624
4,3,20.626,20.626
2,4,20.628,20.628
1,2,20.63,20.63
2,2,20.632,20.632
1,1,20.634,20.634
1,1,20.636,20.636
1,1,20.638,20.638
1,3,20.64,20.64
2,4,20.642,20.642
1,1,20.644,20.644
0,1,20.646,20.646
2,4,20.648,20.648
0,3,20.65,20.65
2,5,20.652,20.652
1,2,20.654,20.654
0,2,20.656,20.656
1,5,20.658,20.658
8,2,20.66,20.66
3,4,20.662,20.662
2,4,20.664,20.664
2,2,20.666,20.666
0,2,20.668,20.668
1,2,20.67,20.67
2,2,20.672,20.672
4,5,20.674,20.674
2,7,20.676,20.676
0,1,20.678,20.678
1,2,20.68,20.68
2,0,20.682,20.682
2,3,20.684,20.684
1,0,20.686,20.686
1,5,20.688,20.688
4,2,20.69,20.69
2,2,20.692,20.692
1,2,20.694,20.694
3,4,20.696,20.696
0,1,20.698,20.698
1,0,20.7,20.7
0,1,20.702,20.702
1,4,20.704,20.704
1,1,20.706,20.706
2,1,20.708,20.708
3,2,20.71,20.71
2,2,20.712,20.712
1,2,20.714,20.714
4,3,20.716,20.716
4,1,20.718,20.718
2,3,20.72,20.72
2,1,20.722,20.722
1,1,20.724,20.724
1,2,20.726,20.726
3,1,20.728,20.728
2,3,20.73,20.73
2,0,20.732,20.732
2,2,20.734,20.734
1,4,20.736,20.736
1,2,20.738,20.738
4,4,20.74,20.74
3,2,20.742,20.742
3,2,20.744,20.744
0,1,20.746,20.746
0,5,20.748,20.748
0,0,20.75,20.75
2,3,20.752,20.752
1,1,20.754,20.754
2,2,20.756,20.756
2,3,20.758,20.758
1,2,20.76,20.76
1,4,20.762,20.762
2,3,20.764,20.764
0,1,20.766,20.766
3,4,20.768,20.768
4,6,20.77,20.77
0,1,20.772,20.772
0,2,20.774,20.774
3,6,20.776,20.776
0,2,20.778,20.778
1,2,20.78,20.78
2,4,20.782,20.782
1,2,20.784,20.784
5,4,20.786,20.786
1,3,20.788,20.788
1,4,20.79,20.79
1,2,20.792,20.792
3,2,20.794,20.794
2,4,20.796,20.796
0,3,20.798,20.798
1,4,20.8,20.8
0,2,20.802,20.802
4,2,20.804,20.804
2,2,20.806,20.806
1,3,20.808,20.808
3,1,20.81,20.81
2,4,20.812,20.812
3,3,20.814,20.814
3,6,20.816,20.816
1,1,20.818,20.818
2,1,20.82,20.82
5,3,20.822,20.822
3,1,20.824,20.824
3,2,20.826,20.826
5,1,20.828,20.828
1,0,20.83,20.83
0,1,20.832,20.832
1,3,20.834,20.834
2,1,20.836,20.836
3,3,20.838,20.838
1,6,20.84,20.84
2,2,20.842,20.842
3,2,20.844,20.844
3,3,20.846,20.846
2,2,20.848,20.848
1,4,20.85,20.85
3,2,20.852,20.852
2,2,20.854,20.854
3,3,20.856,20.856
0,1,20.858,20.858
3,3,20.86,20.86
3,3,20.862,20.862
1,3,20.864,20.864
4,7,20.866,20.866
2,3,20.868,20.868
2,3,20.87,20.87
2,1,20.872,20.872
3,5,20.874,20.874
3,4,20.876,20.876
3,4,20.878,20.878
7,5,20.88,20.88
4,2,20.882,20.882
3,4,20.884,20.884
6,1,20.886,20.886
1,2,20.888,20.888
4,2,20.89,20.89
6,4,20.892,20.892
4,3,20.894,20.894
2,6,20.896,20.896
1,1,20.898,20.898
1,2,20.9,20.9
2,4,20.902,20.902
1,0,20.904,20.904
4,6,20.906,20.906
4,3,20.908,20.908
5,4,20.91,20.91
3,1,20.912,20.912
4,3,20.914,20.914
2,3,20.916,20.916
3,3,20.918,20.918
2,7,20.92,20.92
2,8,20.922,20.922
2,2,20.924,20.924
2,4,20.926,20.926
1,2,20.928,20.928
6,5,20.93,20.93
3,3,20.932,20.932
2,4,20.934,20.934
3,4,20.936,20.936
2,4,20.938,20.938
2,2,20.94,20.94
7,4,20.942,20.942
0,2,20.944,20.944
1,5,20.946,20.946
0,5,20.948,20.948
2,6,20.95,20.95
2,3,20.952,20.952
5,0,20.954,20.954
0,3,20.956,20.956
3,4,20.958,20.958
4,1,20.96,20.96
3,4,20.962,20.962
2,4,20.964,20.964
0,6,20.966,20.966
2,5,20.968,20.968
2,4,20.97,20.97
8,4,20.972,20.972
1,6,20.974,20.974
4,6,20.976,20.976
1,2,20.978,20.978
2,5,20.98,20.98
1,4,20.982,20.982
0,2,20.984,20.984
4,2,20.986,20.986
1,2,20.988,20.988
1,2,20.99,20.99
3,2,20.992,20.992
4,2,20.994,20.994
4,5,20.996,20.996
4,1,20.998,20.998
1,5,21,21
2,4,21.002,21.002
4,1,21.004,21.004
1,5,21.006,21.006
1,3,21.008,21.008
4,4,21.01,21.01
3,3,21.012,21.012
0,1,21.014,21.014
3,3,21.016,21.016
6,3,21.018,21.018
2,1,21.02,21.02
0,4,21.022,21.022
1,5,21.024,21.024
0,2,21.026,21.026
6,1,21.028,21.028
3,3,21.03,21.03
3,1,21.032,21.032
4,4,21.034,21.034
3,3,21.036,21.036
0,1,21.038,21.038
0,3,21.04,21.04
3,4,21.042,21.042
3,1,21.044,21.044
2,2,21.046,21.046
2,0,21.048,21.048
3,2,21.05,21.05
3,0,21.052,21.052
3,1,21.054,21.054
1,7,21.056,21.056
2,3,21.058,21.058
4,6,21.06,21.06
1,4,21.062,21.062
2,3,21.064,21.064
2,2,21.066,21.066
0,3,21.068,21.068
2,0,21.07,21.07
3,1,21.072,21.072
1,2,21.074,21.074
2,1,21.076,21.076
0,1,21.078,21.078
0,0,21.08,21.08
2,4,21.082,21.082
4,2,21.084,21.084
0,2,21.086,21.086
7,3,21.088,21.088
2,2,21.09,21.09
0,5,21.092,21.092
2,1,21.094,21.094
3,3,21.096,21.096
1,3,21.098,21.098
1,4,21.1,21.1
2,2,21.102,21.102
5,4,21.104,21.104
2,3,21.106,21.106
2,4,21.108,21.108
1,0,21.11,21.11
3,1,21.112,21.112
2,2,21.114,21.114
4,2,21.116,21.116
0,4,21.118,21.118
1,3,21.12,21.12
5,2,21.122,21.122
2,2,21.124,21.124
2,1,21.126,21.126
2,1,21.128,21.128
4,3,21.13,21.13
5,2,21.132,21.132
1,3,21.134,21.134
2,2,21.136,21.136
4,3,21.138,21.138
2,5,21.14,21.14
4,1,21.142,21.142
3,2,21.144,21.144
1,2,21.146,21.146
0,2,21.148,21.148
1,3,21.15,21.15
6,3,21.152,21.152
1,2,21.154,21.154
2,5,21.156,21.156
1,4,21.158,21.158
0,1,21.16,21.16
3,2,21.162,21.162
2,0,21.164,21.164
6,1,21.166,21.166
2,2,21.168,21.168
1,2,21.17,21.17
2,2,21.172,21.172
1,5,21.174,21.174
2,3,21.176,21.176
2,1,21.178,21.178
4,4,21.18,21.18
4,2,21.182,21.182
1,2,21.184,21.184
1,2,21.186,21.186
3,0,21.188,21.188
3,2,21.19,21.19
1,3,21.192,21.192
3,5,21.194,21.194
0,4,21.196,21.196
0,2,21.198,21.198
3,3,21.2,21.2
3,2,21.202,21.202
5,5,21.204,21.204
1,2,21.206,21.206
2,3,21.208,21.208
3,1,21.21,21.21
2,4,21.212,21.212
3,3,21.214,21.214
0,6,21.216,21.216
3,1,21.218,21.218
3,2,21.22,21.22
4,2,21.222,21.222
4,6,21.224,21.224
0,5,21.226,21.226
1,3,21.228,21.228
2,4,21.23,21.23
2,4,21.232,21.232
0,3,21.234,21.234
3,2,21.236,21.236
3,5,21.238,21.238
2,1,21.24,21.24
3,2,21.242,21.242
3,3,21.244,21.244
1,2,21.246,21.246
3,2,21.248,21.248
2,1,21.25,21.25
3,5,21.252,21.252
3,1,21.254,21.254
1,3,21.256,21.256
0,2,21.258,21.258
3,2,21.26,21.26
1,2,21.262,21.262
5,4,21.264,21.264
0,0,21.266,21.266
4,3,21.268,21.268
3,2,21.27,21.27
1,2,21.272,21.272
3,1,21.274,21.274
2,2,21.276,21.276
3,4,21.278,21.278
2,3,21.28,21.28
3,4,21.282,21.282
5,3,21.284,21.284
2,1,21.286,21.286
3,2,21.288,21.288
4,0,21.29,21.29
3,2,21.292,21.292
4,1,21.294,21.294
1,2,21.296,21.296
2,1,21.298,21.298
3,2,21.3,21.3
0,1,21.302,21.302
3,2,21.304,21.304
4,4,21.306,21.306
1,3,21.308,21.308
2,3,21.31,21.31
1,3,21.312,21.312
1,3,21.314,21.314
3,1,21.316,21.316
2,2,21.318,21.318
0,3,21.32,21.32
1,8,21.322,21.322
3,4,21.324,21.324
7,3,21.326,21.326
4,2,21.328,21.328
2,3,21.33,21.33
2,2,21.332,21.332
1,0,21.334,21.334
1,2,21.336,21.336
4,4,21.338,21.338
1,1,21.34,21.34
2,3,21.342,21.342
1,2,21.344,21.344
4,1,21.346,21.346
1,2,21.348,21.348
2,2,21.35,21.35
1,3,21.352,21.352
4,3,21.354,21.354
0,3,21.356,21.356
0,2,21.358,21.358
4,3,21.36,21.36
3,2,21.362,21.362
1,3,21.364,21.364
3,2,21.366,21.366
1,2,21.368,21.368
5,5,21.37,21.37
1,3,21.372,21.372
0,3,21.374,21.374
1,2,21.376,21.376
6,2,21.378,21.378
0,5,21.38,21.38
3,2,21.382,21.382
3,3,21.384,21.384
4,2,21.386,21.386
3,3,21.388,21.388
6,0,21.39,21.39
2,1,21.392,21.392
2,0,21.394,21.394
2,5,21.396,21.396
2,1,21.398,21.398
3,3,21.4,21.4
3,6,21.402,21.402
1,1,21.404,21.404
2,2,21.406,21.406
1,2,21.408,21.408
4,4,21.41,21.41
3,2,21.412,21.412
2,0,21.414,21.414
3,3,21.416,21.416
1,4,21.418,21.418
1,4,21.42,21.42
5,0,21.422,21.422
0,3,21.424,21.424
2,1,21.426,21.426
5,3,21.428,21.428
1,4,21.43,21.43
2,1,21.432,21.432
2,0,21.434,21.434
2,0,21.436,21.436
0,3,21.438,21.438
5,6,21.44,21.44
5,0,21.442,21.442
3,0,21.444,21.444
3,0,21.446,21.446
2,0,21.448,21.448
4,4,21.45,21.45
2,3,21.452,21.452
3,3,21.454,21.454
4,2,21.456,21.456
2,1,21.458,21.458
3,3,21.46,21.46
1,4,21.462,21.462
2,1,21.464,21.464
0,6,21.466,21.466
1,2,21.468,21.468
6,4,21.47,21.47
3,3,21.472,21.472
2,6,21.474,21.474
1,3,21.476,21.476
3,2,21.478,21.478
3,5,21.48,21.48
3,4,21.482,21.482
1,3,21.484,21.484
2,4,21.486,21.486
1,3,21.488,21.488
2,4,21.49,21.49
4,3,21.492,21.492
2,3,21.494,21.494
2,4,21.496,21.496
2,2,21.498,21.498
2,0,21.5,21.5
1,6,21.502,21.502
0,7,21.504,21.504
1,4,21.506,21.506
6,2,21.508,21.508
0,2,21.51,21.51
1,1,21.512,21.512
3,4,21.514,21.514
3,5,21.516,21.516
2,3,21.518,21.518
2,3,21.52,21.52
3,1,21.522,21.522
0,4,21.524,21.524
0,0,21.526,21.526
1,1,21.528,21.528
3,0,21.53,21.53
0,2,21.532,21.532
4,1,21.534,21.534
1,2,21.536,21.536
1,3,21.538,21.538
2,6,21.54,21.54
6,1,21.542,21.542
2,2,21.544,21.544
4,3,21.546,21.546
0,5,21.548,21.548
3,1,21.55,21.55
1,4,21.552,21.552
3,2,21.554,21.554
1,2,21.556,21.556
4,2,21.558,21.558
2,3,21.56,21.56
2,3,21.562,21.562
3,4,21.564,21.564
1,3,21.566,21.566
1,2,21.568,21.568
3,6,21.57,21.57
2,5,21.572,21.572
3,2,21.574,21.574
4,6,21.576,21.576
2,0,21.578,21.578
5,3,21.58,21.58
2,1,21.582,21.582
2,2,21.584,21.584
0,1,21.586,21.586
4,4,21.588,21.588
2,1,21.59,21.59
5,2,21.592,21.592
1,4,21.594,21.594
3,2,21.596,21.596
4,1,21.598,21.598
4,3,21.6,21.6
4,2,21.602,21.602
2,4,21.604,21.604
2,3,21.606,21.606
4,4,21.608,21.608
1,1,21.61,21.61
3,2,21.612,21.612
2,4,21.614,21.614
3,1,21.616,21.616
1,4,21.618,21.618
2,0,21.62,21.62
4,1,21.622,21.622
3,4,21.624,21.624
5,3,21.626,21.626
1,2,21.628,21.628
1,2,21.63,21.63
0,1,21.632,21.632
4,2,21.634,21.634
2,2,21.636,21.636
4,4,21.638,21.638
3,5,21.64,21.64
4,3,21.642,21.642
0,2,21.644,21.644
3,2,21.646,21.646
3,2,21.648,21.648
2,3,21.65,21.65
2,1,21.652,21.652
5,4,21.654,21.654
6,3,21.656,21.656
1,7,21.658,21.658
1,3,21.66,21.66
2,3,21.662,21.662
1,1,21.664,21.664
1,1,21.666,21.666
1,2,21.668,21.668
0,2,21.67,21.67
3,1,21.672,21.672
2,0,21.674,21.674
5,6,21.676,21.676
3,5,21.678,21.678
3,6,21.68,21.68
5,2,21.682,21.682
3,1,21.684,21.684
3,2,21.686,21.686
0,3,21.688,21.688
3,3,21.69,21.69
1,5,21.692,21.692
2,2,21.694,21.694
2,3,21.696,21.696
4,4,21.698,21.698
4,1,21.7,21.7
1,3,21.702,21.702
0,2,21.704,21.704
4,4,21.706,21.706
6,3,21.708,21.708
5,3,21.71,21.71
3,3,21.712,21.712
4,2,21.714,21.714
0,4,21.716,21.716
1,3,21.718,21.718
0,1,21.72,21.72
3,1,21.722,21.722
1,5,21.724,21.724
3,3,21.726,21.726
3,2,21.728,21.728
5,2,21.73,21.73
2,1,21.732,21.732
3,1,21.734,21.734
0,1,21.736,21.736
6,6,21.738,21.738
2,5,21.74,21.74
1,1,21.742,21.742
2,1,21.744,21.744
2,4,21.746,21.746
2,3,21.748,21.748
0,1,21.75,21.75
2,4,21.752,21.752
2,4,21.754,21.754
2,6,21.756,21.756
5,4,21.758,21.758
1,5,21.76,21.76
3,3,21.762,21.762
4,4,21.764,21.764
1,5,21.766,21.766
7,3,21.768,21.768
3,1,21.77,21.77
3,3,21.772,21.772
2,2,21.774,21.774
1,2,21.776,21.776
4,2,21.778,21.778
2,4,21.78,21.78
0,2,21.782,21.782
3,0,21.784,21.784
4,2,21.786,21.786
2,3,21.788,21.788
1,2,21.79,21.79
2,4,21.792,21.792
1,3,21.794,21.794
2,3,21.796,21.796
1,3,21.798,21.798
3,2,21.8,21.8
0,1,21.802,21.802
1,1,21.804,21.804
5,4,21.806,21.806
4,1,21.808,21.808
4,2,21.81,21.81
1,1,21.812,21.812
4,2,21.814,21.814
3,2,21.816,21.816
1,1,21.818,21.818
6,2,21.82,21.82
3,3,21.822,21.822
3,3,21.824,21.824
3,2,21.826,21.826
1,2,21.828,21.828
6,3,21.83,21.83
3,1,21.832,21.832
5,3,21.834,21.834
3,3,21.836,21.836
1,4,21.838,21.838
4,4,21.84,21.84
2,3,21.842,21.842
4,3,21.844,21.844
1,2,21.846,21.846
3,2,21.848,21.848
3,3,21.85,21.85
2,2,21.852,21.852
4,2,21.854,21.854
3,2,21.856,21.856
0,0,21.858,21.858
0,2,21.86,21.86
2,0,21.862,21.862
1,1,21.864,21.864
1,4,21.866,21.866
3,3,21.868,21.868
1,0,21.87,21.87
2,5,21.872,21.872
6,5,21.874,21.874
4,4,21.876,21.876
4,8,21.878,21.878
2,2,21.88,21.88
2,2,21.882,21.882
4,0,21.884,21.884
2,4,21.886,21.886
2,1,21.888,21.888
2,1,21.89,21.89
3,4,21.892,21.892
2,8,21.894,21.894
0,5,21.896,21.896
1,5,21.898,21.898
1,1,21.9,21.9
1,0,21.902,21.902
2,2,21.904,21.904
3,2,21.906,21.906
1,1,21.908,21.908
5,2,21.91,21.91
2,8,21.912,21.912
3,2,21.914,21.914
2,0,21.916,21.916
1,4,21.918,21.918
2,4,21.92,21.92
6,4,21.922,21.922
7,5,21.924,21.924
1,4,21.926,21.926
0,4,21.928,21.928
1,4,21.93,21.93
7,5,21.932,21.932
6,3,21.934,21.934
2,3,21.936,21.936
1,5,21.938,21.938
1,3,21.94,21.94
4,1,21.942,21.942
3,3,21.944,21.944
2,6,21.946,21.946
3,3,21.948,21.948
2,3,21.95,21.95
2,5,21.952,21.952
2,8,21.954,21.954
4,3,21.956,21.956
4,4,21.958,21.958
2,4,21.96,21.96
1,3,21.962,21.962
3,3,21.964,21.964
3,3,21.966,21.966
5,4,21.968,21.968
3,4,21.97,21.97
3,1,21.972,21.972
6,3,21.974,21.974
0,9,21.976,21.976
5,1,21.978,21.978
1,6,21.98,21.98
2,3,21.982,21.982
3,4,21.984,21.984
2,4,21.986,21.986
7,2,21.988,21.988
3,1,21.99,21.99
2,2,21.992,21.992
5,4,21.994,21.994
1,9,21.996,21.996
0,2,21.998,21.998
5,7,22,22
3,2,22.002,22.002
3,1,22.004,22.004
4,2,22.006,22.006
4,3,22.008,22.008
3,1,22.01,22.01
2,4,22.012,22.012
3,5,22.014,22.014
4,3,22.016,22.016
2,5,22.018,22.018
1,5,22.02,22.02
5,3,22.022,22.022
2,4,22.024,22.024
0,3,22.026,22.026
2,6,22.028,22.028
0,3,22.03,22.03
2,3,22.032,22.032
1,2,22.034,22.034
3,4,22.036,22.036
1,5,22.038,22.038
4,4,22.04,22.04
4,4,22.042,22.042
2,6,22.044,22.044
1,3,22.046,22.046
4,2,22.048,22.048
2,4,22.05,22.05
4,3,22.052,22.052
2,6,22.054,22.054
2,2,22.056,22.056
2,7,22.058,22.058
4,0,22.06,22.06
2,3,22.062,22.062
2,2,22.064,22.064
0,5,22.066,22.066
3,3,22.068,22.068
1,7,22.07,22.07
3,3,22.072,22.072
5,3,22.074,22.074
3,5,22.076,22.076
2,2,22.078,22.078
1,4,22.08,22.08
3,2,22.082,22.082
4,5,22.084,22.084
2,1,22.086,22.086
3,1,22.088,22.088
1,8,22.09,22.09
5,3,22.092,22.092
2,8,22.094,22.094
5,0,22.096,22.096
2,4,22.098,22.098
1,3,22.1,22.1
3,5,22.102,22.102
4,4,22.104,22.104
0,5,22.106,22.106
2,2,22.108,22.108
1,2,22.11,22.11
2,8,22.112,22.112
5,7,22.114,22.114
4,3,22.116,22.116
4,6,22.118,22.118
2,1,22.12,22.12
3,9,22.122,22.122
2,8,22.124,22.124
1,2,22.126,22.126
0,2,22.128,22.128
2,1,22.13,22.13
2,6,22.132,22.132
1,7,22.134,22.134
2,3,22.136,22.136
1,3,22.138,22.138
1,5,22.14,22.14
3,5,22.142,22.142
1,7,22.144,22.144
3,5,22.146,22.146
2,3,22.148,22.148
5,3,22.15,22.15
1,6,22.152,22.152
2,3,22.154,22.154
3,7,22.156,22.156
4,1,22.158,22.158
2,7,22.16,22.16
2,3,22.162,22.162
4,5,22.164,22.164
2,4,22.166,22.166
4,3,22.168,22.168
1,1,22.17,22.17
2,7,22.172,22.172
4,3,22.174,22.174
1,4,22.176,22.176
5,2,22.178,22.178
6,1,22.18,22.18
2,7,22.182,22.182
3,7,22.184,22.184
0,5,22.186,22.186
3,2,22.188,22.188
2,5,22.19,22.19
4,11,22.192,22.192
6,4,22.194,22.194
2,2,22.196,22.196
4,5,22.198,22.198
4,5,22.2,22.2
3,6,22.202,22.202
2,2,22.204,22.204
1,2,22.206,22.206
2,4,22.208,22.208
1,4,22.21,22.21
2,1,22.212,22.212
3,2,22.214,22.214
3,6,22.216,22.216
4,5,22.218,22.218
8,4,22.22,22.22
5,4,22.222,22.222
3,2,22.224,22.224
2,4,22.226,22.226
7,4,22.228,22.228
1,1,22.23,22.23
1,4,22.232,22.232
2,4,22.234,22.234
5,7,22.236,22.236
3,5,22.238,22.238
2,7,22.24,22.24
2,10,22.242,22.242
3,1,22.244,22.244
5,1,22.246,22.246
1,7,22.248,22.248
1,2,22.25,22.25
3,2,22.252,22.252
2,9,22.254,22.254
5,3,22.256,22.256
3,7,22.258,22.258
8,5,22.26,22.26
2,2,22.262,22.262
3,5,22.264,22.264
5,4,22.266,22.266
7,3,22.268,22.268
2,4,22.27,22.27
5,5,22.272,22.272
2,0,22.274,22.274
2,4,22.276,22.276
2,4,22.278,22.278
6,2,22.28,22.28
2,6,22.282,22.282
3,7,22.284,22.284
4,4,22.286,22.286
2,6,22.288,22.288
4,5,22.29,22.29
5,5,22.292,22.292
5,3,22.294,22.294
2,3,22.296,22.296
2,6,22.298,22.298
2,1,22.3,22.3
4,5,22.302,22.302
1,4,22.304,22.304
3,1,22.306,22.306
3,4,22.308,22.308
4,3,22.31,22.31
3,4,22.312,22.312
4,5,22.314,22.314
3,8,22.316,22.316
5,7,22.318,22.318
4,5,22.32,22.32
4,4,22.322,22.322
1,6,22.324,22.324
3,4,22.326,22.326
3,2,22.328,22.328
5,2,22.33,22.33
4,3,22.332,22.332
3,6,22.334,22.334
1,5,22.336,22.336
5,2,22.338,22.338
3,6,22.34,22.34
0,6,22.342,22.342
